TimeUS,Roll,Pitch,Yaw,VN,VE,VD
20575573,-0.92,1.15,0.05,-0.004077793,0.03386794,0.00448963
20595591,-0.92,1.15,0.05,-0.003562687,0.03377783,0.004404537
20615564,-0.92,1.15,0.05,-0.003795498,0.03398842,0.004446239
20635561,-0.93,1.15,0.05,-0.004960096,0.03420631,0.00430015
20655576,-0.94,1.15,0.05,-0.006710162,0.03387531,0.003683175
20675573,-0.97,1.17,0.05,-0.007708923,0.03380858,0.003221589
20695582,-1.01,1.2,0.05,-0.007590395,0.0337233,0.003573768
20715576,-1.01,1.2,0.05,-0.006663868,0.03417978,0.00456647
20735555,-0.98,1.18,0.05,-0.006017261,0.0345123,0.00547561
20755591,-0.96,1.16,0.05,-0.006299122,0.03442293,0.004996921
20775588,-0.97,1.17,0.05,-0.007267335,0.03406983,0.004369099
20795555,-0.99,1.18,0.05,-0.008542092,0.03400964,0.004733033
20815576,-1.0,1.18,0.05,-0.008960242,0.03406217,0.005250824
20835558,-0.99,1.17,0.05,-0.008450489,0.03432923,0.00502682
20855618,-0.99,1.17,0.05,-0.008226843,0.03391331,0.004844009
20875556,-0.98,1.16,0.05,-0.007883622,0.03402421,0.004732488
20895558,-0.99,1.17,0.05,-0.008314595,0.03395288,0.004927576
20915593,-0.99,1.17,0.05,-0.008583472,0.03332805,0.00528036
20935582,-0.99,1.17,0.05,-0.008517672,0.03316814,0.005406861
20955574,-0.98,1.17,0.05,-0.008674243,0.033142,0.005807589
20975556,-0.98,1.16,0.05,-0.008288232,0.03305592,0.006028137
20995573,-0.99,1.17,0.05,-0.008586558,0.03268109,0.005838749
21015590,-0.99,1.17,0.05,-0.009022152,0.03279408,0.006087612
21035563,-0.99,1.17,0.05,-0.009419499,0.03279664,0.006433679
21055593,-0.97,1.15,0.05,-0.008988513,0.03370837,0.008587115
21075581,-0.93,1.12,0.05,-0.01059528,0.03274256,0.004369412
21095555,-0.92,1.12,0.05,-0.01014937,0.03321726,0.005672107
21115572,-0.93,1.12,0.05,-0.009595991,0.03285543,0.006515623
21135556,-0.94,1.12,0.05,-0.01033651,0.03309281,0.006442164
21155605,-0.93,1.12,0.05,-0.01047794,0.03243856,0.006382101
21175557,-0.93,1.12,0.05,-0.01114369,0.03209053,0.006419474
21195542,-0.93,1.11,0.05,-0.01150706,0.03176788,0.006044855
21215583,-0.93,1.11,0.05,-0.01144386,0.03200138,0.005830346
