TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
19596648,0.0006227926,-0.00155768,0.0003431533,-0.1229426,-0.1483094,-9.787644
19616225,0.0007071906,-0.0009425844,0.0004535523,-0.1234068,-0.1354598,-9.796763
19636256,0.0007274989,-3.923118e-05,0.0002932851,-0.1156391,-0.1318894,-9.792945
19656278,0.0005730591,0.0006053623,6.136398e-05,-0.1246646,-0.1241202,-9.784842
19676191,2.624597e-06,0.001035779,0.0001609384,-0.1398493,-0.1274056,-9.773272
19696611,-0.0001831726,0.0003858155,0.000121993,-0.1302411,-0.136886,-9.767926
19716255,-0.0001671304,-0.000693625,8.573473e-05,-0.1121112,-0.1354285,-9.768889
19736409,0.0001720691,-0.001640575,-8.349511e-05,-0.1148791,-0.1373458,-9.772225
19756315,0.0004918123,-0.002010043,-0.0002567637,-0.1346663,-0.1286326,-9.771876
19776221,0.0008377809,-0.002158549,-0.0003981212,-0.1486047,-0.1351856,-9.77145
19796613,0.001065196,-0.001855536,-0.0005067203,-0.1485685,-0.1340175,-9.783501
19816273,0.001247429,-0.00145647,-0.0003145566,-0.1282315,-0.1424131,-9.786926
19836250,0.001513695,-0.001233602,-0.0001490868,-0.114578,-0.1351715,-9.798983
19856328,0.001468326,-0.001497718,-4.962811e-05,-0.1143129,-0.1398339,-9.789705
19876241,0.001173573,-0.001464466,6.118083e-05,-0.127876,-0.1378726,-9.784375
19896814,0.0009296536,-0.001488207,0.0001680726,-0.1369342,-0.1291692,-9.786412
19916292,0.0006196901,-0.001033941,4.455429e-05,-0.1539591,-0.1247506,-9.789146
19936221,0.0004762275,-0.0007232946,6.336203e-06,-0.1500272,-0.1337285,-9.779603
19956308,0.0003020257,-0.000630981,-5.552727e-05,-0.1381865,-0.1261625,-9.77878
19976254,0.0002167449,-0.0004043337,-2.03188e-05,-0.1211022,-0.128543,-9.783161
19996613,0.0002425823,-0.0005495434,0.0001003911,-0.1209728,-0.127283,-9.777605
20016227,0.0002603206,-0.0002364329,0.0003992747,-0.1139356,-0.1316069,-9.773343
20036246,0.0003846218,-0.0002949016,0.0005498009,-0.1110849,-0.1349161,-9.775701
20056498,0.0001939009,-0.0001238401,0.000481481,-0.1237873,-0.1287383,-9.782333
20076265,-5.257482e-05,-6.652597e-05,0.0002749636,-0.1448897,-0.1327915,-9.783249
20096624,-0.0002188053,-0.0002759862,6.387843e-05,-0.1502993,-0.1306665,-9.782081
20116243,-0.0001017618,-0.001004567,6.749156e-05,-0.1460468,-0.1296911,-9.782023
20136242,0.0001897942,-0.001543102,-3.766389e-06,-0.1261135,-0.1424521,-9.780965
20156290,1.367811e-05,-0.001768667,-0.0001593811,-0.1189473,-0.1417375,-9.787636
20176256,-9.907767e-05,-0.001947863,-0.0003357472,-0.1293799,-0.12837,-9.787131
20196656,-0.0002258735,-0.002137227,-0.0003489688,-0.1400634,-0.1208257,-9.785175
20216482,0.004438539,-0.004915535,-0.0003921886,-0.1408998,-0.108957,-9.77502
20236249,0.01258259,-0.01027954,-0.0005217455,-0.1374335,-0.1175944,-9.751583
20256311,0.02235423,-0.01691834,-0.0007942248,-0.1556836,-0.1417638,-9.781513
20276228,0.02902519,-0.02156933,-0.001229207,-0.1600893,-0.1565877,-9.804068
20296713,0.0344307,-0.02531632,-0.001458427,-0.1564499,-0.1644544,-9.786087
20316275,0.03822765,-0.02778015,-0.001602193,-0.1548193,-0.1703439,-9.786931
20336250,0.03892309,-0.02833296,-0.001650028,-0.1668505,-0.1850987,-9.786001
20356336,0.03687513,-0.02711745,-0.001577423,-0.1833812,-0.1841152,-9.781794
20376451,0.03403192,-0.02546818,-0.001465566,-0.1755825,-0.1858334,-9.771379
20396671,0.0332403,-0.02487334,-0.001470953,-0.1642177,-0.1811568,-9.772558
20416262,0.02975733,-0.02225601,-0.001114974,-0.1747824,-0.2154446,-9.819384
20436212,0.0232691,-0.01767139,-0.0008400415,-0.1830301,-0.2008872,-9.784551
20456284,0.01718471,-0.01360271,-0.0005021344,-0.1820687,-0.2158611,-9.801176
20476249,0.01194518,-0.009795936,-0.0001899293,-0.1868638,-0.2033705,-9.783066
20496654,0.007583847,-0.006704953,-8.58132e-05,-0.2076946,-0.1973429,-9.779496
20516241,0.004840576,-0.004545386,-0.0004006928,-0.2382446,-0.1982417,-9.778899
20536464,0.002452821,-0.002694899,-0.0003565916,-0.2331626,-0.1977279,-9.772994
20556282,0.001237639,-0.001612335,-0.0001531599,-0.1940037,-0.202658,-9.792255
20576275,0.0002571548,-0.0008477014,1.663511e-05,-0.1567058,-0.1989952,-9.783203
20596624,-5.555352e-06,-0.0005560139,0.0002077257,-0.1511302,-0.200359,-9.783438
20616223,-0.0001370573,-0.0007241962,0.0004675204,-0.1734683,-0.1975017,-9.785601
20636249,-0.0008498872,-0.00103973,0.0005472267,-0.2082394,-0.1905176,-9.78973
20656274,-0.002073252,-0.0005858263,0.0006325651,-0.25284,-0.1997053,-9.796724
20676279,-0.00561611,0.001982688,0.0008562805,-0.2549098,-0.2100395,-9.805752
20696880,-0.01245356,0.006688068,0.0007835824,-0.2111081,-0.1942101,-9.796466
20716238,-0.01626519,0.009286733,0.0004939141,-0.1598026,-0.1778471,-9.760424
20736263,-0.01234652,0.007079849,0.000105914,-0.1360418,-0.172122,-9.750793
20756290,-0.003947108,0.001422104,-0.0001144841,-0.160884,-0.1829007,-9.771306
20776221,0.001586449,-0.002541848,-0.0003144566,-0.2012647,-0.2008231,-9.802926
20796615,0.001315318,-0.002714829,-0.0002392483,-0.2324262,-0.2028464,-9.800503
20816255,-0.0007458323,-0.001456889,0.0002045155,-0.2323565,-0.190478,-9.770925
20836247,-0.001419477,-0.00119847,0.000470736,-0.1863251,-0.1786293,-9.772665
20856480,-0.0002700983,-0.001872977,0.0004332801,-0.1636304,-0.1864637,-9.779993
20876250,0.001495148,-0.002626326,0.0002671148,-0.1601472,-0.2003641,-9.786071
20896584,0.002208434,-0.002839302,0.0001272816,-0.1810407,-0.1965431,-9.791829
20916263,0.001226496,-0.001880297,2.443764e-05,-0.1943887,-0.1995878,-9.777041
20936224,0.0004009877,-0.000997578,-5.829715e-05,-0.1946893,-0.2029468,-9.775423
20956267,0.0009261518,-0.0008259786,1.437767e-05,-0.1823824,-0.1955372,-9.779409
20976246,0.002351449,-0.00136664,2.651072e-05,-0.1754054,-0.1972173,-9.775651
20996626,0.002410512,-0.001710198,-6.632571e-05,-0.1812274,-0.2006568,-9.784966
21016477,0.001011641,-0.001273829,-7.161274e-05,-0.1936175,-0.1938739,-9.779806
21036280,-0.0004496672,-0.0007995955,-5.496242e-05,-0.2031856,-0.1837479,-9.769691
21056310,0.0004655212,-0.00134686,-0.0002030353,-0.1921053,-0.172776,-9.742692
21076224,0.01049269,-0.007507789,-0.0001222869,-0.2097615,-0.189942,-9.811159
21096691,0.01302934,-0.009694781,-9.473486e-05,-0.1951291,-0.1819956,-9.785989
21116256,0.01190465,-0.009428226,-0.0001144241,-0.1957948,-0.1993657,-9.779871
21136262,0.009254786,-0.007892964,-6.594773e-05,-0.2043659,-0.209008,-9.788677
21156324,0.006120374,-0.005894656,8.966935e-05,-0.1891577,-0.2217836,-9.780581
21176451,0.003610365,-0.004365589,0.0001499461,-0.2116825,-0.2135109,-9.78102
21196627,0.002593497,-0.003407377,0.0002438836,-0.227077,-0.2080165,-9.794396
21216275,0.002654594,-0.002879566,0.0003051784,-0.208738,-0.1984846,-9.782181
21236217,0.00311123,-0.002625639,0.0004091728,-0.1776983,-0.2056787,-9.783765
21256309,0.003180922,-0.002450562,0.0001393482,-0.1617234,-0.2246277,-9.788564
21276237,0.002473776,-0.002449197,-1.729831e-05,-0.1699996,-0.2249283,-9.789001
21296589,0.001385531,-0.00221926,-0.0001569591,-0.1884819,-0.2179939,-9.78687
21316285,0.0006208347,-0.001620474,-0.0003311214,-0.2044877,-0.2070643,-9.783154
21336446,0.0002777787,-0.00155098,-0.0003958037,-0.2147435,-0.2042698,-9.776616
21356299,0.0002527812,-0.001511403,-0.0004264015,-0.2047949,-0.2083375,-9.776395
21376230,0.0002139157,-0.0015265,-0.0001757354,-0.1983973,-0.2104571,-9.785227
21396604,0.0001842477,-0.001629939,5.712377e-05,-0.1966206,-0.2153443,-9.797256
21416320,0.0004198909,-0.001961649,0.000243793,-0.191014,-0.2016363,-9.805531
21436252,0.0006064482,-0.001701918,0.0003696339,-0.1895473,-0.1977379,-9.790533
21456276,0.0009732003,-0.001156291,0.0003501309,-0.1969149,-0.2059785,-9.789849
21476233,0.001124367,-0.0006982482,0.0004645529,-0.2014738,-0.2163154,-9.795199
21496854,0.0009548093,-0.0002485309,0.0006191439,-0.1920625,-0.2101754,-9.797471
21516255,0.0002315231,-8.777389e-05,0.0005422126,-0.1868418,-0.214884,-9.80031
21536250,-0.0003558019,-0.0001699674,0.000377596,-0.1869154,-0.2134169,-9.793566
21556280,-0.0002498865,-0.0005916784,0.000232264,-0.2001911,-0.2105621,-9.784517
21576245,6.449225e-05,-0.001503592,4.458122e-05,-0.210148,-0.2137574,-9.787247
21596610,0.0003618409,-0.001675493,5.418934e-05,-0.2092443,-0.21728,-9.779794
