TimeUS,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,VN,VE,VD,V_horiz_m_s,V_3D_m_s,KE_horiz_J,KE_3D_J
24281784,0.8570523,-0.9555442,-9.979765,0.002957395,0.003332418,0.07145483,0.4767372,0.1785302,-0.05439914,0.5090691408599426,0.5119674370588618,1.5484295563008832,1.5661111732365023
24301692,0.9871895,-0.1449794,-10.71502,-0.003915091,0.005317454,0.07372196,0.5180105,0.1810357,-0.09969215,0.5487338177884976,0.5577161711447521,1.7991250966388221,1.8585077821492655
24321755,0.6206628,-0.8806152,-9.614095,-0.0110195,-0.01105681,0.06029175,0.5221087,0.1632825,-0.02817607,0.5470453997813527,0.5477705362125503,1.7880705497960914,1.7928140480469448
24342162,0.8318123,-0.4665104,-9.240595,-0.02258163,-0.009576307,0.04307327,0.5640384,0.1977857,-0.07969891,0.5977110504240741,0.6030011741731837,2.1346195362993243,2.172572235924073
24361926,0.9403512,-0.7612918,-10.01405,-0.0183659,-0.01027652,0.03053553,0.559287,0.2219443,-0.07131526,0.6017152322083014,0.6059266349817918,2.1633157935121528,2.193703844707636
24381771,0.7735988,-0.4627373,-10.00046,-0.009728393,-0.009513672,0.01811757,0.6031836,0.1988282,-0.04398192,0.6351087374805987,0.6366298121444569,2.4100945728345953,2.4216526683237416
24401702,0.6066202,-0.6763971,-9.539859,0.01857073,-0.005246059,0.01197316,0.6054665,0.1853627,-0.03650765,0.6332053483456532,0.6342569051118502,2.3956703537119015,2.4036338845503233
24421753,0.0428837,-0.7693403,-9.932355,0.02115271,-0.0004489557,0.02457034,0.6367768,0.2005983,-0.08071905,0.667625921441888,0.6724878705330175,2.6632031166122516,2.7021336176838444
24442103,0.2002711,-0.4889436,-10.41446,0.02357796,-0.0002738445,0.04279928,0.6301188,0.2238872,-0.08182925,0.6687115824010229,0.6736996412295635,2.671871703112748,2.711880459392234
24461721,0.1838865,-0.6628237,-9.987104,0.03312139,-0.001350706,0.05869775,0.6406484,0.2319991,-0.08413882,0.6813618383967288,0.6865371773286297,2.7739173800696357,2.8162164427298153
24481866,0.3058447,-0.6380253,-9.983527,0.03273742,0.001662759,0.07262207,0.6668739,0.2236529,-0.06844281,0.7033785738701599,0.7067006696051137,2.956079973623229,2.9840693726113883
24501734,0.4694645,-0.4142788,-9.776252,0.02120847,0.004246341,0.08628625,0.6787029,0.230117,-0.07820237,0.7166529565678286,0.7209071166461231,3.0687089744405243,3.1052497482153854
24521948,0.9647286,-1.075732,-10.50691,0.01683604,-0.00259963,0.09529417,0.7065515,0.2046638,-0.06591473,0.7355965559888722,0.7385438679006568,3.233086201766573,3.259046092761636
24542137,0.6689956,-0.02025446,-9.021935,-0.0350801,-0.003225261,0.09470177,0.7374753,0.2540139,-0.0902596,0.7799954355656833,0.7852004042889051,3.635147455032217,3.683824557500374
24561742,1.333773,-0.04199687,-10.30075,-0.03600381,-0.0001678523,0.06778985,0.7502979,0.2736153,-0.06555013,0.7986314989646351,0.8013170974598738,3.8109283200525375,3.836601816822063
24581753,0.6910141,-0.1042604,-9.57707,-0.02288473,0.0006186404,0.02451772,0.7849717,0.2775506,-0.09611066,0.8325952830524864,0.8381241938560691,4.141959059533468,4.197151681853141
24601719,0.5990284,-1.191607,-10.51006,-0.01045297,-0.01976454,-0.003760467,0.7892926,0.2514175,-0.06200926,0.8283680146655893,0.8306856902864992,4.100006567133034,4.122981328379376
24621774,0.8613371,-0.8786133,-9.482015,-0.0134579,-0.02753965,-0.0165692,0.8182631,0.2767471,-0.06941026,0.8637959586499696,0.8665801996199126,4.4582071626256194,4.486993423180393
24642111,0.7353843,-0.7068182,-10.34402,0.003590931,-0.0276859,-0.02733722,0.8237236,0.2616345,-0.1129273,0.8642761021729167,0.8716224847217401,4.46316475520358,4.539361391338187
24661733,0.4436806,-0.6404358,-10.89241,0.003696493,-0.029041,-0.01536992,0.8584862,0.2623431,-0.08918343,0.8976761429981583,0.9020954172894433,4.814789184805599,4.862312447820324
24681996,0.6467926,-0.614863,-9.843406,-0.01354273,-0.03624629,0.01488389,0.8958026,0.2839589,-0.0832736,0.9397313206741436,0.9434137202272023,5.27649235645942,5.317925948889755
24701715,0.6045576,-1.039687,-8.454676,-0.01716713,-0.03367688,0.05113754,0.9195353,0.2544739,-0.06771421,0.954097549377054,0.9564974375100145,5.439055249020618,5.466451904080264
24721753,0.4980662,-0.4856451,-10.55288,-0.004395707,-0.005464808,0.08927053,0.9159159,0.2929453,-0.07714303,0.9616230470745281,0.9647123569968827,5.525195335872778,5.560752842161324
24742158,0.6604025,-0.938633,-10.35542,0.04349684,0.026207,0.1259487,0.9436404,0.2698151,-0.1049807,0.981456770673151,0.9870553885535807,5.755462921383516,5.821313081934144
24761726,0.6613576,-0.4257155,-10.13778,0.04022133,0.0486301,0.1669465,0.9625944,0.3034043,-0.07773187,1.0092780331354934,1.0122669567774831,6.086386835314854,6.122489240906692
24781774,1.417989,-0.4887316,-10.70611,0.04382966,0.04836256,0.2018843,0.9908713,0.2920151,-0.07950052,1.0330047201207262,1.0360594019996974,6.375915041955406,6.413679029720023
24801745,1.122383,0.3682129,-9.256382,0.0203642,0.039473,0.2185558,1.037514,0.341916,-0.09777443,1.0924018725963445,1.0967687497434566,7.1302175612307,7.1873376002226035
24821772,1.516136,0.1705475,-11.13159,0.01091608,0.0382953,0.2173441,1.048211,0.3582834,-0.1022744,1.1077514591444058,1.1124627401094924,7.332001939038445,7.394500755088222
24842353,1.193731,-0.5618527,-9.189108,-0.002334468,0.02590486,0.1935638,1.083083,0.3385357,-0.04156683,1.134757773740057,1.1355188269772276,7.693859350254354,7.7041829633579395
24861742,1.064053,-0.06633573,-9.491484,-0.00770192,0.03561735,0.1625941,1.11648,0.3720203,-0.1006453,1.1768290844519818,1.1811249596990911,8.274936996722236,8.335460618284472
24881786,0.7928746,-0.832007,-10.22463,-0.00269304,0.03311738,0.1304659,1.121161,0.3500406,-0.07967358,1.174534124480579,1.1772333196607105,8.242694197176926,8.280622776293276
24901736,0.5831525,-0.3571211,-10.42383,0.01122637,0.03115372,0.100275,1.148095,0.3515363,-0.08585302,1.200708082442477,1.2037735004085324,8.614156897975072,8.65819707570772
24921765,0.4827531,-0.7521693,-9.819668,0.01351375,0.03299168,0.1009784,1.168403,0.3748245,-0.1126523,1.2270529638973413,1.232213259506868,8.996312382850268,9.072138363504626
24942168,0.7722051,-0.404094,-10.18396,0.02256893,0.02855104,0.1314382,1.182579,0.3850498,-0.07459485,1.2436866324444595,1.2459216794676793,9.241869727333215,9.275116967421186
24961712,0.07327933,-1.317226,-9.359599,0.02548987,0.02093069,0.1795705,1.201383,0.3803177,-0.09004956,1.260143906711567,1.2633572688984236,9.488076927093184,9.53652774354894
