TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
13738849,0.0007860015,0.0009768035,0.0005166271,-0.4070053,-0.754539,-9.809406
13758460,0.0007921631,0.001020436,0.0005888828,-0.4074341,-0.7518091,-9.810231
13778509,0.001400664,0.000923332,0.0004715108,-0.4027498,-0.7540483,-9.814097
13798661,0.0016504,0.0008459415,0.0003542338,-0.3953548,-0.7506987,-9.810038
13818467,0.001518106,0.0008798526,0.0002837269,-0.4009998,-0.7491782,-9.807424
13838853,0.001751676,0.0002908423,0.0002527473,-0.4033429,-0.750501,-9.80034
13858497,0.001872447,-0.0001590774,0.0002428427,-0.4067278,-0.755545,-9.798151
13878508,0.001689832,-0.0006671232,0.0001945603,-0.4106843,-0.7523239,-9.801793
13898436,0.001242483,-0.0004837855,9.910085e-05,-0.4050754,-0.7544303,-9.797709
13918513,0.0009407336,-9.483415e-05,0.0001729257,-0.408804,-0.7519653,-9.809275
13938859,0.0008741827,-7.979426e-05,0.0001341101,-0.4089787,-0.7466893,-9.818667
13958652,0.000973941,2.440288e-05,-6.228837e-05,-0.4097494,-0.7485053,-9.819322
13978468,0.001306059,-9.145579e-06,-0.0001881409,-0.4012039,-0.7546409,-9.824928
13998465,0.001474157,0.0003622405,-0.0002359057,-0.3966144,-0.7530091,-9.817163
14018525,0.001507085,0.0006036455,-0.0002029315,-0.3987616,-0.7501408,-9.812331
14038850,0.001504799,0.0007885925,-0.0001901202,-0.3943316,-0.7492515,-9.800783
14058431,0.001397766,0.0008344282,-0.0001599068,-0.3923942,-0.7500786,-9.807342
14078525,0.001523269,0.0006443937,6.395828e-05,-0.399707,-0.7466761,-9.816513
14098439,0.001550534,0.0008627972,0.0002337346,-0.3981986,-0.7481766,-9.809284
14118654,0.001460011,0.001402064,0.0004064214,-0.4016921,-0.7481517,-9.808948
14138852,0.001374721,0.001690077,0.0004460693,-0.4024762,-0.750534,-9.807848
14158474,0.001586998,0.001382957,0.0003458986,-0.403217,-0.7521511,-9.804689
14178519,0.001871239,0.0009160112,0.0002692122,-0.4045319,-0.7535482,-9.811784
14198430,0.001878981,0.0005819361,0.000322623,-0.4015191,-0.7493547,-9.807454
14218442,0.001939656,0.0004521721,0.0003445003,-0.4058494,-0.7500073,-9.818511
14238859,0.001893746,0.0005008514,0.000311948,-0.4057458,-0.7525354,-9.826385
14258499,0.001878109,0.0004062368,0.0003166721,-0.397484,-0.7526606,-9.823645
14278658,0.00195904,0.0001272017,0.0001309862,-0.3968656,-0.7473117,-9.815382
14298447,0.001656325,0.0003440513,-4.550264e-05,-0.4073948,-0.7508037,-9.814348
14318480,0.00142189,0.0001966373,-8.720969e-05,-0.4182366,-0.7544696,-9.80771
14338917,0.001328934,0.0002645613,7.015646e-05,-0.4129052,-0.7510504,-9.805869
14358485,0.001108095,-7.61005e-05,0.0001518878,-0.408245,-0.7505698,-9.81151
14378477,0.0007672788,-0.0004580622,0.0002159381,-0.4013124,-0.752619,-9.819077
14398450,0.0005055703,-0.0007175895,0.0003633189,-0.4022224,-0.751491,-9.829125
14418534,0.0005934708,-0.0008414009,0.0003714887,-0.4002556,-0.7557197,-9.82193
14439073,0.001040416,-0.001153303,0.0002886839,-0.3978307,-0.7525629,-9.815414
14458424,0.001196276,-0.001080782,7.906905e-05,-0.4060191,-0.7482892,-9.814813
14478476,0.00122959,-0.00100604,-2.634415e-05,-0.4103776,-0.7486308,-9.809166
14498494,0.001310761,-0.001038818,-5.644499e-05,-0.4096923,-0.7559927,-9.813858
14518521,0.001044533,-0.0009590607,-7.815847e-05,-0.4072236,-0.7520249,-9.813365
14538851,0.0007337079,-0.000902122,-5.65571e-05,-0.4061485,-0.7535463,-9.818482
14558430,0.0006844,-0.0006145765,-9.869309e-05,-0.3972178,-0.7555618,-9.812868
14578511,0.0008510363,-0.0004055883,-2.561272e-05,-0.4001051,-0.7551663,-9.80794
14598621,0.001127193,-0.0002415463,-3.80159e-05,-0.3983947,-0.7569289,-9.815124
14618458,0.001245314,-0.0003139365,-4.088137e-05,-0.4029427,-0.7608307,-9.814699
14638865,0.001232344,-2.961621e-05,8.495336e-05,-0.4021374,-0.7594212,-9.812885
14658471,0.0009006328,0.0004104002,0.0001843984,-0.3992395,-0.7599054,-9.818031
14678527,0.0007045588,0.001175979,9.02208e-05,-0.3950887,-0.7595283,-9.819195
14698492,0.0009073165,0.001179079,-3.028073e-05,-0.3911144,-0.7551034,-9.803055
14718453,0.001403865,0.0006040742,-0.000121005,-0.3954275,-0.750882,-9.826967
14738843,0.001504676,0.000419402,-0.000181174,-0.3985434,-0.7503576,-9.838707
14758672,0.00136686,0.0005590727,-0.0002378564,-0.402003,-0.7577081,-9.828888
14778518,0.001094255,0.0006883288,-0.0001347088,-0.4011242,-0.7634264,-9.817768
14798475,0.0009415261,0.0004735802,-0.0001623091,-0.4069467,-0.7633561,-9.81403
14818465,0.000674626,0.000201174,-8.063066e-05,-0.4084605,-0.7652799,-9.825863
14838849,0.0007006793,0.0004325297,-2.954878e-05,-0.3967566,-0.7586363,-9.830095
14858508,0.0009019183,0.0004847487,-5.937305e-05,-0.3983583,-0.7572008,-9.820007
