TimeUS,Roll,Pitch,Yaw,VN,VE,VD
28181179,-0.84,0.45,261.04,-0.5837237,0.5344402,0.270476
28201146,-0.86,0.39,258.93,-0.576549,0.533179,0.2715922
28221172,-0.95,0.35,256.91,-0.5801292,0.5300699,0.2665637
28241094,-0.97,0.27,254.95,-0.5713621,0.5205511,0.2657107
28261144,-0.98,0.21,253.12,-0.5659816,0.5137291,0.2625259
28281159,-1.06,0.2,251.37,-0.5682462,0.5076004,0.2776527
28301125,-1.04,0.1,249.68,-0.5529523,0.4938066,0.2583687
28321176,-1.11,0.09,248.09,-0.5480576,0.4890238,0.2693271
28341092,-1.17,0.05,246.62,-0.551743,0.489813,0.2682053
28361139,-1.08,-0.04,245.25,-0.5517314,0.4834267,0.2647258
28381205,-1.17,-0.05,243.96,-0.5443693,0.4692143,0.2680588
28401066,-1.21,-0.07,242.78,-0.5463022,0.461069,0.2616141
28421185,-1.18,-0.13,241.67,-0.5442759,0.4516277,0.2549531
28441143,-1.18,-0.17,240.73,-0.5478221,0.4477171,0.2514034
28461155,-1.21,-0.2,239.89,-0.5408725,0.4401917,0.2635177
28481121,-1.21,-0.23,239.14,-0.5439379,0.4355789,0.2628262
28501086,-1.23,-0.28,238.49,-0.5504889,0.4200593,0.2502755
28521167,-1.25,-0.28,237.96,-0.5505821,0.4077345,0.2529221
28541143,-1.27,-0.3,237.53,-0.5497041,0.3998288,0.2480953
28561095,-1.24,-0.33,237.24,-0.5430222,0.388587,0.2536476
28581158,-1.27,-0.32,237.11,-0.5447503,0.3835407,0.259559
28601124,-1.25,-0.32,237.12,-0.5478216,0.3832626,0.2544415
28621159,-1.21,-0.31,237.18,-0.5700826,0.3738541,0.2526416
28641097,-1.21,-0.3,237.21,-0.5903435,0.3670923,0.2496101
28661147,-1.23,-0.29,237.25,-0.6087186,0.3582645,0.2488482
28681164,-1.22,-0.3,237.27,-0.624033,0.3484891,0.2538081
28701112,-1.24,-0.29,237.26,-0.6391869,0.3498874,0.248909
28721170,-1.21,-0.3,237.31,-0.6602069,0.3505397,0.2511207
28741107,-1.22,-0.29,237.34,-0.6740474,0.3453832,0.2502919
28761138,-1.22,-0.28,237.36,-0.6945056,0.3371271,0.2531917
28781161,-1.2,-0.28,237.37,-0.712252,0.3318514,0.2501523
28801125,-1.2,-0.27,237.4,-0.7295107,0.3321482,0.2502195
28821104,-1.18,-0.28,237.42,-0.7440904,0.3261155,0.2479137
28841145,-1.18,-0.28,237.43,-0.7590828,0.3203149,0.2484345
28861143,-1.2,-0.26,237.44,-0.7752285,0.3116374,0.2508333
28881193,-1.2,-0.27,237.44,-0.7903136,0.3090765,0.2482523
28901068,-1.19,-0.27,237.44,-0.8101552,0.3061377,0.2476282
28921190,-1.18,-0.28,237.46,-0.8263566,0.3001909,0.2484192
28941140,-1.2,-0.27,237.46,-0.8468853,0.2892088,0.2487557
28961147,-1.2,-0.27,237.44,-0.8630179,0.2841272,0.2491587
28981187,-1.19,-0.28,237.45,-0.8800345,0.2847056,0.2479625
29001074,-1.2,-0.27,237.46,-0.8951393,0.2791547,0.2479307
29021159,-1.19,-0.27,237.46,-0.9117498,0.2734491,0.2482135
29041141,-1.19,-0.27,237.45,-0.9272529,0.2717013,0.2479824
29061093,-1.19,-0.26,237.46,-0.9408047,0.2716449,0.2484105
29081126,-1.18,-0.27,237.46,-0.9526798,0.2733815,0.2473901
29101146,-1.19,-0.27,237.45,-0.9634647,0.2766867,0.2477846
29121169,-1.18,-0.27,237.46,-0.974754,0.2804649,0.2479827
29141074,-1.18,-0.27,237.46,-0.9854493,0.2830301,0.2471334
29161092,-1.18,-0.27,237.46,-0.9960706,0.2866125,0.2473692
29181158,-1.18,-0.27,237.45,-1.006035,0.2915909,0.2461771
29201139,-1.19,-0.26,237.46,-1.015765,0.2964382,0.2461493
