TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ
24421753,0.02115271,-0.0004489557,0.02457034,0.0428837,-0.7693403,-9.932355
24442103,0.02357796,-0.0002738445,0.04279928,0.2002711,-0.4889436,-10.41446
24461721,0.03312139,-0.001350706,0.05869775,0.1838865,-0.6628237,-9.987104
24481866,0.03273742,0.001662759,0.07262207,0.3058447,-0.6380253,-9.983527
24501734,0.02120847,0.004246341,0.08628625,0.4694645,-0.4142788,-9.776252
24521948,0.01683604,-0.00259963,0.09529417,0.9647286,-1.075732,-10.50691
24542137,-0.0350801,-0.003225261,0.09470177,0.6689956,-0.02025446,-9.021935
24561742,-0.03600381,-0.0001678523,0.06778985,1.333773,-0.04199687,-10.30075
24581753,-0.02288473,0.0006186404,0.02451772,0.6910141,-0.1042604,-9.57707
24601719,-0.01045297,-0.01976454,-0.003760467,0.5990284,-1.191607,-10.51006
24621774,-0.0134579,-0.02753965,-0.0165692,0.8613371,-0.8786133,-9.482015
24642111,0.003590931,-0.0276859,-0.02733722,0.7353843,-0.7068182,-10.34402
24661733,0.003696493,-0.029041,-0.01536992,0.4436806,-0.6404358,-10.89241
24681996,-0.01354273,-0.03624629,0.01488389,0.6467926,-0.614863,-9.843406
24701715,-0.01716713,-0.03367688,0.05113754,0.6045576,-1.039687,-8.454676
24721753,-0.004395707,-0.005464808,0.08927053,0.4980662,-0.4856451,-10.55288
24742158,0.04349684,0.026207,0.1259487,0.6604025,-0.938633,-10.35542
24761726,0.04022133,0.0486301,0.1669465,0.6613576,-0.4257155,-10.13778
24781774,0.04382966,0.04836256,0.2018843,1.417989,-0.4887316,-10.70611
24801745,0.0203642,0.039473,0.2185558,1.122383,0.3682129,-9.256382
24821772,0.01091608,0.0382953,0.2173441,1.516136,0.1705475,-11.13159
24842353,-0.002334468,0.02590486,0.1935638,1.193731,-0.5618527,-9.189108
24861742,-0.00770192,0.03561735,0.1625941,1.064053,-0.06633573,-9.491484
24881786,-0.00269304,0.03311738,0.1304659,0.7928746,-0.832007,-10.22463
24901736,0.01122637,0.03115372,0.100275,0.5831525,-0.3571211,-10.42383
24921765,0.01351375,0.03299168,0.1009784,0.4827531,-0.7521693,-9.819668
24942168,0.02256893,0.02855104,0.1314382,0.7722051,-0.404094,-10.18396
24961712,0.02548987,0.02093069,0.1795705,0.07327933,-1.317226,-9.359599
24981812,0.002718687,0.03054295,0.2584892,0.9298886,-0.3207378,-10.6783
25001963,0.01537667,0.02464244,0.3491983,1.118188,-0.6838414,-9.124952
25021757,0.03717213,0.02901843,0.419195,1.530397,0.4654021,-10.80986
25042135,0.05674548,0.01619985,0.4502084,1.31974,-0.07477055,-9.300273
25061721,0.03734701,0.00800785,0.4463577,1.174464,0.769737,-10.63286
25081781,0.05167359,0.0133023,0.4173115,0.9924669,-0.3062002,-9.782475
25101747,0.03168981,0.02306372,0.3744563,0.7653933,0.08853652,-10.24682
25121787,0.02354681,0.03505313,0.3368855,0.7739483,-0.2614353,-9.438459
25142110,0.0273606,0.0406803,0.2938536,0.5672024,-0.1215123,-9.21909
25161944,0.03038206,0.02661743,0.2633826,0.6758123,0.008150389,-10.10062
25181762,0.04422603,0.01393389,0.2381287,0.902563,0.03760066,-10.13486
25201736,0.007608204,0.0004049355,0.2367981,0.449469,-0.5701388,-9.863832
25221784,-0.02355026,-0.002623678,0.2748257,0.575617,-0.4086227,-10.39382
25242146,-0.02620286,-0.01242064,0.3226692,0.3263859,-0.7274846,-9.307697
25261712,-0.02358175,-0.01160894,0.3925385,1.046562,0.1801009,-10.93983
25281778,0.0003284685,-0.03632116,0.4879009,1.158772,-0.7461135,-9.662685
25301782,-0.02264591,-0.03982864,0.5621096,1.628261,0.7251475,-9.692841
25321979,0.009146716,-0.04665461,0.5745768,1.725106,-0.4905601,-9.613334
25342082,-0.01448752,-0.03760309,0.5328687,1.235758,0.6938645,-9.222969
25361759,0.01175402,-0.02717251,0.4638343,1.784472,-0.6031867,-9.903468
25381785,0.01064528,-0.01845775,0.3751637,2.013005,0.4374097,-10.98993
25401745,0.004188229,-0.04670271,0.2883272,1.707237,0.1064022,-10.43106
25421745,-0.00228783,-0.03501321,0.2146252,1.424769,0.8029681,-8.594552
